name,blurb,michelin_award,city,country,lat,lon,image,chef,cuisine1,cuisine2,url,url2
Evelyn's Table,Peek behind a curtain and head down a narrow staircase,ONE_STAR,London,United Kingdom,51.5111217,-0.1326731,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/57ef82987fd745e79d1536bbca7721c6,,Modern Cuisine,,https://guide.michelin.com/gb/en/greater-london/london/restaurant/evelyn-s-table,https://guide.michelin.com/en/greater-london/london/restaurant/evelyn-s-table
ES,"A restaurant run by Takayuki Honjo, a young Japanese chef",ONE_STAR,Paris,France,48.856449,2.3211774,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/099aa946-b3e0-4e67-a7f4-1c5695a83d51.jpg,Takayuki Honjo,Modern Cuisine,Creative,https://guide.michelin.com/en/ile-de-france/paris/restaurant/es,https://guide.michelin.com/en/ile-de-france/paris/restaurant/es
L'Or Bleu,"Overlooking the sea and the Estérel mountains, the exquisite Tiara",ONE_STAR,Théoule-sur-Mer,France,43.4853664,6.9453085,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/3d595180-07ac-4fa9-8013-2e1611d51995.jpg,Alain Montigny,Modern Cuisine,Mediterranean Cuisine,https://guide.michelin.com/en/provence-alpes-cote-dazur/thoule-sur-mer/restaurant/l-or-bleu,https://guide.michelin.com/en/provence-alpes-cote-dazur/thoule-sur-mer/restaurant/l-or-bleu
Q Sushi,Authenticity and tradition are paramount in this extraordinary little sushiya,ONE_STAR,Los Angeles,United States,34.046883,-118.255844,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a22f7bb5-0cf5-44f1-8447-bc617de18a73.jpg,Hiroyuki Naruke,Japanese,Sushi,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,https://guide.michelin.com/en/california/us-los-angeles/restaurant/q-sushi
Feng Wei Ju,"The opulent room is covered in gold and red, the",TWO_STARS,Macau,Macau,22.189952,113.5479285,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/ba30371a406245ffa3d5427ce24aff7b,Chek Keong CHAN,Hunanese,Sichuan,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/feng-wei-ju,https://guide.michelin.com/en/macau-region/macau/restaurant/feng-wei-ju
Tony Parkin at The Tudor Room,This striking Elizabethan manor was built as a hunting lodge,ONE_STAR,Egham,United Kingdom,51.4171003,-0.5441757,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/91c3fedcf72c46ecb9ae9552e3a15859,Tony Parkin,Modern Cuisine,,https://guide.michelin.com/gb/en/surrey/egham/restaurant/tudor-room,https://guide.michelin.com/en/surrey/egham/restaurant/tudor-room
Il Falconiere,Situated on the slopes of Cortona in the hills overlooking,ONE_STAR,San Martino,Italy,43.2821868,11.9763509,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/05e56981c22e442e8423b869565f4e14,Silvia Regi Baracchi,Tuscan,,https://guide.michelin.com/en/toscana/san-martino/restaurant/il-falconiere,https://guide.michelin.com/en/toscana/san-martino/restaurant/il-falconiere
Au 14 Février,"In the heart of this romantically named town, this restaurant",ONE_STAR,Saint-Valentin,France,46.9516902,1.8650344,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/20bb3d07-74e2-499e-90ee-8dcd162a4218.jpg,Iku Negami,Modern Cuisine,,https://guide.michelin.com/en/centre-val-de-loire/saint-valentin/restaurant/au-14-fevrier,https://guide.michelin.com/en/centre-val-de-loire/saint-valentin/restaurant/au-14-fevrier
Costes,A sophisticated restaurant on a lively street. The menu blends,ONE_STAR,Budapest,Hungary,47.4888947,19.0621394,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/13f3359337e2470cbbd8a99a072e0c91,,Modern Cuisine,,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/costes,https://guide.michelin.com/en/central-hungary/budapest/restaurant/costes
L'Olivo,"A huge, elegant dining room where the lighting, fabrics and",TWO_STARS,Anacapri,Italy,40.55598,14.22207,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/d8bdda610d4b435486e764784e1864fc,Andrea Migliaccio,Creative,Italian,https://guide.michelin.com/en/campania/anacapri/restaurant/l-olivo,https://guide.michelin.com/en/campania/anacapri/restaurant/l-olivo
Piazzetta Milù,Although it once relied on the skills of an outside,ONE_STAR,Castellammare di Stabia,Italy,40.7018717,14.4829218,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/ba48cd71e1c14d7ca261b9aec81a414b,Maicol Izzo,Creative,,https://guide.michelin.com/en/campania/castellammare-di-stabia/restaurant/piazzetta-milu,https://guide.michelin.com/en/campania/castellammare-di-stabia/restaurant/piazzetta-milu
En Marge,This elegant restaurant housed in a converted 19C farmhouse is,ONE_STAR,Aureville,France,43.49083,1.44087,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/c356baa1-1168-49f0-b087-5afad73b703f.jpg,Frank Renimel,Creative,,https://guide.michelin.com/en/occitanie/aureville/restaurant/en-marge,https://guide.michelin.com/en/occitanie/aureville/restaurant/en-marge
Gourmetstube Einhorn,"Peter Girtler, the chef at the Unicorn (Einhorn in German",TWO_STARS,Mauls,Italy,46.8511074,11.5204481,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/be453e3164bf4c0fbcc1017e59e65c9b,Peter Girtler,Creative,,https://guide.michelin.com/en/trentino-alto-adige/mauls/restaurant/gourmetstube-einhorn,https://guide.michelin.com/en/trentino-alto-adige/mauls/restaurant/gourmetstube-einhorn
REISERS am Stein,An incredible location high above Würzburg for a trendy wine,ONE_STAR,Würzburg,Germany,49.8054104,9.9285339,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f543725a-c665-4705-b85f-26b4435785fa.jpg,Bernhard Reiser,Creative,Classic Cuisine,https://guide.michelin.com/en/bayern/wurzburg/restaurant/reisers-am-stein,https://guide.michelin.com/en/bayern/wurzburg/restaurant/reisers-am-stein
au deco,The chef’s theme for his dishes is ‘classic French,ONE_STAR,Tokyo,Japan,35.647632,139.720263,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/0fdaa01e-681c-40f9-8a77-65ecefc67d74.jpg,Satoshi KAKEGAWA,French,,https://guide.michelin.com/jp/en/tokyo-region/tokyo/restaurant/au-deco,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/au-deco
The Cellar,Local lad Billy Boyter worked in several of Edinburgh’s,ONE_STAR,Anstruther,United Kingdom,56.2220468,-2.695993,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/7d69712b1b404234b8125e108b0b56c3,Billy Boyter,Modern Cuisine,Scottish,https://guide.michelin.com/gb/en/fife/anstruther/restaurant/the-cellar,https://guide.michelin.com/en/fife/anstruther/restaurant/the-cellar
Temmabashi Fujikawa,"Shinji Fujikawa wanted to stage a unique, climactic scene in",ONE_STAR,Osaka,Japan,34.692102,135.516558,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/2cd14118-d5f2-49fc-a1e5-d1675c396c6e.jpg,Shinji FUJIKAWA,Japanese,,https://guide.michelin.com/jp/en/osaka-region/osaka/restaurant/temmabashi-fujikawa,https://guide.michelin.com/en/osaka-region/osaka/restaurant/temmabashi-fujikawa
EL Ideas,Dining here is like attending an underground dinner party prepared,ONE_STAR,Chicago,United States,41.863,-87.68686,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/1d1bfc98d3cd4712ab5e46d05200ab72,Phillip Foss,Contemporary,Creative,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,https://guide.michelin.com/en/illinois/chicago/restaurant/el-ideas
Jeune et Jolie,Partner John Resnick and Executive Chef Eric Bost are behind,ONE_STAR,Carlsbad,United States,33.1631027,-117.3516968,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/6adda4af384b438c8a9bb4075535ebe0,Eric Bost,French,Contemporary,https://guide.michelin.com/us/en/california/carlsbad/restaurant/jeune-et-jolie,https://guide.michelin.com/en/california/carlsbad/restaurant/jeune-et-jolie
Nihombashi Sonoji,As suggested by the phrase ‘Finish with soba after tempura,ONE_STAR,Tokyo,Japan,35.6862411,139.7845372,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/49a2af4b-abe9-4a3a-aad2-ed2ed24bd8e8.JPG,Toshiyuki SUZUKI,Tempura,,https://guide.michelin.com/jp/en/tokyo-region/tokyo/restaurant/nihombashi-sonoji,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/nihombashi-sonoji
Lettres Gourmandes,"This stylish establishment is the haunt of seasoned chef, Christophe",ONE_STAR,Montignies-Saint-Christophe,Belgium,50.2854392,4.1833145,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/d31016f22aac4157a559aa6c52661912,Christophe Lambert,Creative French,Modern Cuisine,https://guide.michelin.com/en/hainaut/montignies-saint-christophe/restaurant/lettres-gourmandes,https://guide.michelin.com/en/hainaut/montignies-saint-christophe/restaurant/lettres-gourmandes
Ayanokoji Karatsu,The owner-chef came here from Nagasaki to learn Japanese,ONE_STAR,Kyoto,Japan,35.0024366,135.75555,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/5fc12d1e-d8e3-4cbf-9b7f-5ab3e27cfbb4.JPG,Shosaku KARATSU,Japanese,,https://guide.michelin.com/jp/en/kyoto-region/kyoto/restaurant/ayanokoji-karatsu,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/ayanokoji-karatsu
Cocinandos,A restaurant full of surprising contrasts where the old façade,ONE_STAR,Leon,Spain,42.6019852,-5.5810161,https://mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/4c8e607ce8554056bb1274120819709c,Juanjo Pérez,Modern Cuisine,,https://guide.michelin.com/en/castilla-y-leon/leon/restaurant/cocinandos,https://guide.michelin.com/en/castilla-y-leon/leon/restaurant/cocinandos
Coeur D'Artichaut,"An appealing ""casual fine dining"" concept that has diners sitting",ONE_STAR,Münster,Germany,51.9638925,7.6294251,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/fb825658-a5c6-46fd-9662-3fa59eacce57.jpg,Frédéric Morel,Modern French,Regional Cuisine,https://guide.michelin.com/en/nordrhein-westfalen/munster/restaurant/coeur-d-artichaut,https://guide.michelin.com/en/nordrhein-westfalen/munster/restaurant/coeur-d-artichaut
Le Moulin de l'Abbaye,"Abutting the cliff, this outhouse of the Benedictine abbey of",ONE_STAR,Brantôme,France,45.3632696,0.6463844,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/ef325989-622a-4c72-9d4e-5c45b06eb811.jpg,Ramsès Navarro,Modern Cuisine,,https://guide.michelin.com/en/nouvelle-aquitaine/brantme/restaurant/le-moulin-de-l-abbaye,https://guide.michelin.com/en/nouvelle-aquitaine/brantme/restaurant/le-moulin-de-l-abbaye
Il Ristorante di Guido da Costigliole,"Surrounded by the romantic landscapes of the Langhe region, the",ONE_STAR,Santo Stefano Belbo,Italy,44.7051429,8.2066746,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/026aaa9d-55c9-4507-a814-f15c3b03ba15.jpg,Luca Zecchin,Piedmontese,,https://guide.michelin.com/en/piemonte/santo-stefano-belbo/restaurant/il-ristorante-di-guido-da-costigliole,https://guide.michelin.com/en/piemonte/santo-stefano-belbo/restaurant/il-ristorante-di-guido-da-costigliole
Mirei,The French painter Jean-François Millet was the inspiration behind,ONE_STAR,Kyoto,Japan,35.016197,135.75848,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/07fdbbd4-39ec-41fd-aee0-bc7ed4a767e3.JPG,Yuzo NAKAO,Japanese,,https://guide.michelin.com/jp/en/kyoto-region/kyoto/restaurant/mirei-1193056,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/mirei-1193056
Boka,​​​​​​This is the kind of retreat&nbsp;where one can,ONE_STAR,Chicago,United States,41.9135974,-87.6482441,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/832b450cfe584452b6fe334364027870,Lee Wolen,Contemporary,American,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,https://guide.michelin.com/en/illinois/chicago/restaurant/boka
I Castagni,"Created in a country house with a portico, a charming",ONE_STAR,Vigevano,Italy,45.2927681,8.8577576,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a003c7b0-8931-4b93-83b3-8c9a94c4f89b.jpg,Enrico Gerli,Classic Cuisine,Modern Cuisine,https://guide.michelin.com/en/lombardia/vigevano/restaurant/i-castagni,https://guide.michelin.com/en/lombardia/vigevano/restaurant/i-castagni
À Contre Sens,"In its elegant dining room at no 10, whose decor",ONE_STAR,Caen,France,49.1844865,-0.3655578,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/0ec52149-e272-4fcd-a7f6-05b2a6241797.jpg,Anthony Caillot,Modern Cuisine,,https://guide.michelin.com/en/normandie/caen/restaurant/a-contre-sens,https://guide.michelin.com/en/normandie/caen/restaurant/a-contre-sens
SPQR,"Pleasant and homey with excellent modern cooking, there is little",ONE_STAR,San Francisco,United States,37.7873703,-122.4336712,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/7440c46f9b674de1878731daba1a4376,Matthew Accarrino,Italian,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,https://guide.michelin.com/en/california/san-francisco/restaurant/spqr
Dog and Gun Inn,The Dog and Gun is a proper village pub which,ONE_STAR,Skelton,United Kingdom,54.7107234,-2.8753453,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/71f97b96f57f4804ae66a27da6bedff8,Ben Queen-Fryer,British Contemporary,,https://guide.michelin.com/gb/en/cumbria/skelton/restaurant/dog-and-gun-inn,https://guide.michelin.com/en/cumbria/skelton/restaurant/dog-and-gun-inn
Marcus,Within the Berkeley hotel sits Marcus Wareing’s flagship; a,ONE_STAR,London,United Kingdom,51.5018508,-0.1560845,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/c2ea7127a3ec43be85a0601954adaf5f,Marcus Wareing,Modern Cuisine,,https://guide.michelin.com/gb/en/greater-london/london/restaurant/marcus,https://guide.michelin.com/en/greater-london/london/restaurant/marcus
Le Cerf,The chef devises and expertly prepares cuisine that reworks some,ONE_STAR,Marlenheim,France,48.6208412,7.4940282,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/88c2138f-bb0e-40f6-9bb9-db6a2eff632e.jpg,Joël Philipps,Modern Cuisine,,https://guide.michelin.com/en/grand-est/marlenheim/restaurant/le-cerf,https://guide.michelin.com/en/grand-est/marlenheim/restaurant/le-cerf
Table de Mary,Maryline and Loïc Nozahic have run this superbly located restaurant,ONE_STAR,Cheseaux-Noréaz,Switzerland,46.7805014,6.6677225,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/1210f2bd-257b-4ffe-9a63-c3960bcaaf62.jpg,Maryline Nozahic,Classic French,,https://guide.michelin.com/en/vaud/cheseaux-noraz/restaurant/table-de-mary,https://guide.michelin.com/en/vaud/cheseaux-noraz/restaurant/table-de-mary
Sanso Kyoyamato,This ryotei is in a hilly area of Higashiyama. The,ONE_STAR,Kyoto,Japan,34.999252,135.78139,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/d13c07ab-4376-4d90-9dbf-b4bcfbbec5d9.jpg,Masahito ATSUCHI,Japanese,,https://guide.michelin.com/jp/en/kyoto-region/kyoto/restaurant/sanso-kyoyamato,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/sanso-kyoyamato
La Huchette,"The inn, which dates from the 1950’s, has been",ONE_STAR,Replonges,France,46.2987913,4.8826914,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/831f618f-cd4a-4e21-bfdb-e78239247872.jpg,Didier Goiffon,Modern Cuisine,,https://guide.michelin.com/en/auvergne-rhone-alpes/replonges/restaurant/la-huchette,https://guide.michelin.com/en/auvergne-rhone-alpes/replonges/restaurant/la-huchette
Zarzo,Adrian Zarzo Habraken is a culinary ambassador for his country,ONE_STAR,Eindhoven,Netherlands,51.4352972,5.4841506,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/9e9f92ef896b4cf7a30de620d2425198,Adrian Zarzo Habraken,Creative,,https://guide.michelin.com/en/noord-brabant/eindhoven/restaurant/zarzo,https://guide.michelin.com/en/noord-brabant/eindhoven/restaurant/zarzo
Kikunoi Honten,“The ryotei is the art gallery of the Japanese,THREE_STARS,Kyoto,Japan,35.00149,135.782028,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a54d2f76-dc28-4817-b927-efad0790e892.jpg,Yoshihiro MURATA,Japanese,,https://guide.michelin.com/jp/en/kyoto-region/kyoto/restaurant/kikunoi-honten,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kikunoi-honten
Antica Corte Pallavicina,"This property, which resembles a castle, was built as a",ONE_STAR,Polesine Parmense,Italy,45.0212099,10.0859923,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/ca5fa27508a543dd90296a9272cde1c1,Massimo Spigaroli,Country cooking,,https://guide.michelin.com/en/emilia-romagna/polesine-parmense/restaurant/antica-corte-pallavicina,https://guide.michelin.com/en/emilia-romagna/polesine-parmense/restaurant/antica-corte-pallavicina
Stéphane Tournié - Les Jardins de l'Opéra,"In an entirely revamped room (parquet, wooden tables, wine cellar",ONE_STAR,Toulouse,France,43.60391,1.44401,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/84d2aab4-b7aa-4df3-9c60-2cac2edaf8f0.jpg,Stéphane Tournié,Modern Cuisine,,https://guide.michelin.com/en/occitanie/toulouse/restaurant/stephane-tournie-les-jardins-de-l-opera,https://guide.michelin.com/en/occitanie/toulouse/restaurant/stephane-tournie-les-jardins-de-l-opera
Le Marcq,After refining his talent in several restaurants of the north,ONE_STAR,Marcq-en-Barœul,France,50.6624168,3.0976061,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/0f969b64-392b-49d9-9b34-effcb7b9bd7a.jpeg,Abdelkader Belfatmi,Modern Cuisine,,https://guide.michelin.com/en/hauts-de-france/marcq-en-barul/restaurant/le-marcq,https://guide.michelin.com/en/hauts-de-france/marcq-en-barul/restaurant/le-marcq
Gasthaus zum Raben,"An inn in the best sense of the word, Zum",ONE_STAR,Horben,Germany,47.9339331,7.858809,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/d058f414-d72d-48ca-9bab-47a9c52f93a5.jpg,Steffen Disch,Classic French,International,https://guide.michelin.com/en/baden-wurttemberg/horben/restaurant/gasthaus-zum-raben,https://guide.michelin.com/en/baden-wurttemberg/horben/restaurant/gasthaus-zum-raben
Gusto,A particularly interesting restaurant overseen by award - winning chef Heinz,ONE_STAR,Almancil,Portugal,37.0633302,-8.0301921,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/788c0745-f8e6-40f1-bc51-4cbfd8df8155.jpg,Liborio Buonocore,Mediterranean Cuisine,,https://guide.michelin.com/en/faro-region/almancil/restaurant/gusto378372,https://guide.michelin.com/en/faro-region/almancil/restaurant/gusto378372
Gary Danko,"The elite meet to eat at this throwback favorite, which",ONE_STAR,San Francisco,United States,37.8058115,-122.4206863,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/0aa3cf1d401043c08e7c53aa806abe9f,Gary Danko,Contemporary,,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,https://guide.michelin.com/en/california/san-francisco/restaurant/gary-danko
Vistas Rui Silvestre,"Overlooking a superb golf course, chef Rui Silvestre surprises guests",ONE_STAR,Vila Nova de Cacela,Portugal,37.20864,-7.5494437,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/653f1d95-c68d-4155-a7d8-ba4f1ca54d54.jpg,Rui Silvestre,Modern Cuisine,,https://guide.michelin.com/en/faro-region/vila-nova-de-cacela/restaurant/vistas,https://guide.michelin.com/en/faro-region/vila-nova-de-cacela/restaurant/vistas
Wine in the City,Wine in the City is more than a wine merchant,ONE_STAR,Jette,Belgium,50.8723531,4.3239267,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/fed02c1eee9044979b1dbe3187d3b4bc,Eddy Münster,Creative,Modern Cuisine,https://guide.michelin.com/en/bruxelles-capitale/jette/restaurant/wine-in-the-city,https://guide.michelin.com/en/bruxelles-capitale/jette/restaurant/wine-in-the-city
Yardbird,"Yardbird moved here in 2017 and since then, it is",ONE_STAR,Hong Kong,Hong Kong,22.2869992,114.1492298,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f7e55a8f-db77-44d6-868e-cad7ac8cd2ab.jpg,Matt ABERGEL,Yakitori,,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yardbird,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/yardbird
